engine_id,component_id,cycle,rolling_mean_vibration_10,rolling_std_vibration_10,vibration_slope_20,rolling_mean_temp_10,temp_rise_rate,rolling_std_temp_10,rpm_drift,vib_temp_correlation,cumulative_fatigue,health_score,flight_hour_normalised,max_z_score_10,RUL
1,turbine_blade,10,23.35133,0.091784,0.015412,1589.679447,1.030651,3.191717,0.000163,0.634967,1.3987,98.6013,0.01,1.9109,273
1,turbine_blade,11,23.365278,0.091773,0.015042,1590.06292,0.137232,2.870469,0.000358,0.571569,1.5431,98.4569,0.011,2.0631,272
1,turbine_blade,12,23.36149,0.091435,0.011353,1590.402602,0.626841,2.808242,0.005909,0.604881,1.6895,98.3105,0.012,2.0293,271
1,turbine_blade,13,23.354942,0.09209,0.007551,1591.479366,0.78475,2.888496,-0.001224,0.541476,1.831,98.169,0.013,1.9438,270
1,turbine_blade,14,23.357471,0.089448,0.003738,1592.068258,0.993675,3.017132,-0.010498,0.332867,1.9618,98.0382,0.014,2.0295,269
1,turbine_blade,15,23.378293,0.065903,0.003919,1593.825323,1.407227,4.128021,0.001434,-0.064221,2.114,97.886,0.015,2.4626,268
1,turbine_blade,16,23.357169,0.09747,-0.001431,1593.810472,0.191123,4.137244,0.000672,0.095605,2.2443,97.7557,0.016,2.4607,267
1,turbine_blade,17,23.37876,0.109373,0.002629,1594.651987,0.6755,4.020374,-0.006881,0.168982,2.3936,97.6064,0.017,2.3229,266
1,turbine_blade,18,23.371678,0.106048,0.002932,1594.394858,-0.579319,4.269518,-0.004771,0.198205,2.5317,97.4683,0.018,2.2476,265
1,turbine_blade,19,23.349755,0.100875,0.001288,1594.20809,-0.235854,4.304366,-0.002706,0.236567,2.6674,97.3326,0.019,2.2728,264
1,turbine_blade,20,23.346657,0.099642,0.001459,1595.022576,1.509555,5.028297,0.00985,0.244227,2.8254,97.1746,0.02,2.0736,263
1,turbine_blade,21,23.335694,0.09606,6.6e-05,1595.752474,0.570806,4.653034,-0.007618,0.387031,2.9617,97.0383,0.021,2.0533,262
1,turbine_blade,22,23.368276,0.141013,0.005383,1597.224572,1.066101,5.326568,0.00028,0.649874,3.1303,96.8697,0.022,2.1995,261
1,turbine_blade,23,23.36412,0.143081,0.004362,1597.653427,0.60693,5.425672,0.008028,0.583079,3.2801,96.7199,0.023,2.1968,260
1,turbine_blade,24,23.356787,0.149256,0.000344,1598.535887,0.021892,5.692505,-0.007405,0.390415,3.4149,96.5851,0.024,2.155,259
1,turbine_blade,25,23.377446,0.165074,0.00082,1598.307223,1.169657,5.51185,0.002306,0.434829,3.5777,96.4223,0.025,1.8234,258
1,turbine_blade,26,23.410564,0.146273,0.001734,1598.808875,-0.186502,5.04895,-0.001537,0.257179,3.7272,96.2728,0.026,1.8989,257
1,turbine_blade,27,23.380683,0.148722,-0.001461,1599.158339,1.349492,5.092784,-0.004254,0.220096,3.8647,96.1353,0.027,2.0021,256
1,turbine_blade,28,23.371485,0.15067,-0.001336,1599.925051,0.480103,3.998719,-0.007009,0.335403,4.0007,95.9993,0.028,2.0373,255
1,turbine_blade,29,23.386019,0.147692,0.001313,1601.220053,0.298052,3.468077,-0.014034,0.273834,4.1425,95.8575,0.029,1.9799,254
1,turbine_blade,30,23.396611,0.150128,0.003457,1601.311036,0.799649,3.520792,-0.007122,0.311824,4.2923,95.7077,0.03,1.8772,253
1,turbine_blade,31,23.426284,0.16068,0.007825,1602.462648,0.214709,3.65543,-0.009384,0.410155,4.4503,95.5497,0.031,1.7149,252
1,turbine_blade,32,23.387008,0.141047,0.006015,1602.031844,0.110926,3.445424,-0.008546,0.288994,4.5873,95.4127,0.032,1.7509,251
1,turbine_blade,33,23.421106,0.150669,0.008447,1602.467988,0.111024,3.539885,0.00301,0.345338,4.7543,95.2457,0.033,1.7724,250
1,turbine_blade,34,23.467092,0.146503,0.010403,1602.367681,0.164511,3.503756,0.002617,0.475093,4.9222,95.0778,0.034,1.7621,249
1,turbine_blade,35,23.425038,0.164255,0.006511,1602.849014,1.147081,3.704422,-0.007924,0.245062,5.0563,94.9437,0.035,1.7966,248
1,turbine_blade,36,23.421336,0.163588,0.002858,1604.289677,1.02594,3.636827,-0.005135,0.323203,5.2096,94.7904,0.036,2.035,247
1,turbine_blade,37,23.417204,0.168707,0.001517,1604.783586,1.046378,3.540471,0.003857,0.156593,5.3548,94.6452,0.037,2.2299,246
1,turbine_blade,38,23.42317,0.165423,0.000798,1605.77693,0.144928,2.393907,-0.005958,-0.046063,5.5009,94.4991,0.038,2.0149,245
1,turbine_blade,39,23.403672,0.175716,-0.003575,1605.440049,-0.177352,2.631883,-0.009782,0.100994,5.6338,94.3662,0.039,1.9607,244
1,turbine_blade,40,23.392633,0.174127,-0.004307,1606.003266,0.145877,2.805798,-0.003719,0.105661,5.784,94.216,0.04,1.6385,243
1,turbine_blade,41,23.3645,0.157885,-0.006381,1607.294636,2.128236,5.310801,0.000446,-0.054959,5.9431,94.0569,0.041,2.5765,242
1,turbine_blade,42,23.371865,0.155739,-0.002427,1607.857478,0.2517,4.989739,-0.006242,-0.120231,6.0894,93.9106,0.042,2.6295,241
1,turbine_blade,43,23.386648,0.182841,0.001407,1607.529693,-0.141729,5.255008,-0.005118,-0.266899,6.2554,93.7446,0.043,2.5592,240
1,turbine_blade,44,23.365078,0.160628,-0.001216,1608.06369,0.223026,5.053827,0.000637,-0.147968,6.413,93.587,0.044,2.5554,239
1,turbine_blade,45,23.403066,0.154867,0.003456,1609.386392,1.016014,6.09892,-0.000539,0.016532,6.5825,93.4175,0.045,2.3276,238
1,turbine_blade,46,23.39556,0.154995,0.003575,1608.384021,-0.636594,6.618588,-0.007659,0.041925,6.7234,93.2766,0.046,2.3741,237
1,turbine_blade,47,23.389231,0.164166,-0.003163,1608.485916,0.05588,6.59361,-0.00365,0.027435,6.8594,93.1406,0.047,2.28,236
1,turbine_blade,48,23.366737,0.181401,-0.008676,1609.775586,1.952206,7.358898,-0.016522,-0.175411,6.9922,93.0078,0.048,2.1874,235
1,turbine_blade,49,23.377035,0.175953,-0.009211,1611.823165,1.471939,7.788088,-0.010845,-0.30017,7.1423,92.8577,0.049,2.1966,234
1,turbine_blade,50,23.366027,0.179572,-0.009709,1611.71838,-1.405407,7.827242,-0.002611,-0.265445,7.2867,92.7133,0.05,2.2136,233
